03/11/2025 13:43:40
Time, True Strain, True Stress [MPa], True Strainrate [1/s], Unc True Strain, Unc True Stress [MPa], Adiabatic Temp [C]
4.75000e-05,2.58409e-02,2.63097e+02,2.50309e+03,2.76963e-12,8.18989e+00,2.48418e+01
4.80000e-05,2.71648e-02,2.62102e+02,2.63123e+03,2.86833e-12,8.15892e+00,2.49576e+01
4.85000e-05,2.83838e-02,2.67926e+02,2.61460e+03,2.96690e-12,8.34022e+00,2.50665e+01
4.90000e-05,2.96605e-02,2.73393e+02,2.72125e+03,3.06521e-12,8.51037e+00,2.51830e+01
4.95000e-05,3.09217e-02,2.82716e+02,2.80093e+03,3.16673e-12,8.80060e+00,2.53020e+01
5.00000e-05,3.23797e-02,2.80700e+02,2.87207e+03,3.26890e-12,8.73784e+00,2.54385e+01
5.05000e-05,3.37855e-02,2.85773e+02,2.97119e+03,3.37433e-12,8.89577e+00,2.55725e+01
5.10000e-05,3.52223e-02,2.89530e+02,2.99611e+03,3.47986e-12,9.01270e+00,2.57113e+01
5.15000e-05,3.67742e-02,2.90688e+02,3.15280e+03,3.58899e-12,9.04874e+00,2.58618e+01
5.20000e-05,3.82563e-02,2.98575e+02,3.20823e+03,3.70031e-12,9.29426e+00,2.60095e+01
5.25000e-05,3.98306e-02,3.04179e+02,3.32833e+03,3.81280e-12,9.46871e+00,2.61692e+01
5.30000e-05,4.16502e-02,2.96602e+02,3.43694e+03,3.93063e-12,9.23285e+00,2.63493e+01
5.35000e-05,4.33576e-02,2.98965e+02,3.50187e+03,4.04724e-12,9.30642e+00,2.65196e+01
5.40000e-05,4.50125e-02,3.08326e+02,3.60316e+03,4.16671e-12,9.59781e+00,2.66898e+01
5.45000e-05,4.68858e-02,3.03943e+02,3.63752e+03,4.28709e-12,9.46137e+00,2.68798e+01
5.50000e-05,4.87747e-02,3.02736e+02,3.76251e+03,4.40947e-12,9.42381e+00,2.70706e+01
5.55000e-05,5.05511e-02,3.09151e+02,3.76313e+03,4.53236e-12,9.62350e+00,2.72538e+01
5.60000e-05,5.24474e-02,3.09827e+02,3.83395e+03,4.65454e-12,9.64454e+00,2.74498e+01
5.65000e-05,5.42974e-02,3.14921e+02,3.87363e+03,4.77841e-12,9.80311e+00,2.76442e+01
5.70000e-05,5.61755e-02,3.18420e+02,3.88294e+03,4.90115e-12,9.91203e+00,2.78437e+01
5.75000e-05,5.81320e-02,3.19988e+02,3.98321e+03,5.02535e-12,9.96084e+00,2.80526e+01
5.80000e-05,5.99890e-02,3.28477e+02,3.99334e+03,5.14910e-12,1.02251e+01,2.82561e+01
5.85000e-05,6.19331e-02,3.34713e+02,4.10165e+03,5.27312e-12,1.04192e+01,2.84732e+01
5.90000e-05,6.39554e-02,3.36531e+02,4.12503e+03,5.40047e-12,1.04758e+01,2.87002e+01
5.95000e-05,6.60171e-02,3.37083e+02,4.16582e+03,5.52613e-12,1.04930e+01,2.89321e+01
6.00000e-05,6.80083e-02,3.43874e+02,4.21678e+03,5.65296e-12,1.07044e+01,2.91605e+01
6.05000e-05,7.00867e-02,3.44085e+02,4.18970e+03,5.77886e-12,1.07109e+01,2.93991e+01
6.10000e-05,7.21787e-02,3.45840e+02,4.26550e+03,5.90426e-12,1.07656e+01,2.96405e+01
6.15000e-05,7.42404e-02,3.50065e+02,4.28192e+03,6.02950e-12,1.08971e+01,2.98813e+01
6.20000e-05,7.62753e-02,3.57986e+02,4.34475e+03,6.15366e-12,1.11437e+01,3.01243e+01
6.25000e-05,7.85672e-02,3.52553e+02,4.44372e+03,6.28099e-12,1.09745e+01,3.03939e+01
6.30000e-05,8.06566e-02,3.60714e+02,4.46486e+03,6.40640e-12,1.12286e+01,3.06454e+01
6.35000e-05,8.30608e-02,3.51886e+02,4.56083e+03,6.53454e-12,1.09538e+01,3.09276e+01
6.40000e-05,8.52053e-02,3.58157e+02,4.51812e+03,6.66001e-12,1.11490e+01,3.11839e+01
