03/11/2025 13:42:04
Time, True Strain, True Stress [MPa], True Strainrate [1/s], Unc True Strain, Unc True Stress [MPa], Adiabatic Temp [C]
4.55000e-05,2.50390e-02,2.43609e+02,2.52290e+03,2.85126e-12,7.58324e+00,2.46944e+01
4.60000e-05,2.63433e-02,2.45223e+02,2.66542e+03,2.95387e-12,7.63348e+00,2.48011e+01
4.65000e-05,2.75076e-02,2.56840e+02,2.67064e+03,3.05418e-12,7.99511e+00,2.49009e+01
4.70000e-05,2.88811e-02,2.59382e+02,2.83184e+03,3.15851e-12,8.07424e+00,2.50197e+01
4.75000e-05,3.03109e-02,2.60935e+02,2.91713e+03,3.26590e-12,8.12260e+00,2.51442e+01
4.80000e-05,3.17279e-02,2.69532e+02,3.09466e+03,3.37576e-12,8.39019e+00,2.52716e+01
4.85000e-05,3.33340e-02,2.70702e+02,3.26120e+03,3.49307e-12,8.42663e+00,2.54167e+01
4.90000e-05,3.49789e-02,2.73763e+02,3.39434e+03,3.61209e-12,8.52192e+00,2.55669e+01
4.95000e-05,3.67514e-02,2.74553e+02,3.58524e+03,3.73788e-12,8.54650e+00,2.57293e+01
5.00000e-05,3.83848e-02,2.85565e+02,3.60465e+03,3.86423e-12,8.88930e+00,2.58849e+01
5.05000e-05,4.02490e-02,2.87573e+02,3.80635e+03,3.99377e-12,8.95180e+00,2.60638e+01
5.10000e-05,4.21493e-02,2.87661e+02,3.82302e+03,4.12671e-12,8.95454e+00,2.62461e+01
5.15000e-05,4.40456e-02,2.91856e+02,3.93627e+03,4.25838e-12,9.08511e+00,2.64308e+01
5.20000e-05,4.59798e-02,2.94458e+02,3.96623e+03,4.39301e-12,9.16611e+00,2.66208e+01
5.25000e-05,4.79443e-02,2.93880e+02,3.93270e+03,4.52499e-12,9.14812e+00,2.68134e+01
5.30000e-05,4.98513e-02,2.98661e+02,3.97761e+03,4.65689e-12,9.29695e+00,2.70034e+01
5.35000e-05,5.17859e-02,2.99339e+02,3.91054e+03,4.78771e-12,9.31806e+00,2.71966e+01
5.40000e-05,5.37480e-02,3.00323e+02,3.97545e+03,4.91586e-12,9.34870e+00,2.73932e+01
5.45000e-05,5.56415e-02,3.04132e+02,3.92298e+03,5.04551e-12,9.46726e+00,2.75853e+01
5.50000e-05,5.76270e-02,3.02905e+02,3.95607e+03,5.17079e-12,9.42905e+00,2.77860e+01
5.55000e-05,5.96103e-02,3.01682e+02,3.95157e+03,5.29764e-12,9.39099e+00,2.79856e+01
5.60000e-05,6.14499e-02,3.09209e+02,3.93011e+03,5.42041e-12,9.62529e+00,2.81754e+01
5.65000e-05,6.33431e-02,3.13903e+02,3.95205e+03,5.54151e-12,9.77141e+00,2.83737e+01
5.70000e-05,6.51946e-02,3.20135e+02,3.91673e+03,5.66130e-12,9.96540e+00,2.85714e+01
5.75000e-05,6.71865e-02,3.19193e+02,3.97839e+03,5.77843e-12,9.93609e+00,2.87835e+01
5.80000e-05,6.91458e-02,3.21957e+02,4.02777e+03,5.89605e-12,1.00221e+01,2.89940e+01
5.85000e-05,7.10677e-02,3.27808e+02,4.04944e+03,6.01080e-12,1.02043e+01,2.92042e+01
5.90000e-05,7.30863e-02,3.29908e+02,4.12785e+03,6.12648e-12,1.02696e+01,2.94264e+01
5.95000e-05,7.51776e-02,3.27992e+02,4.14829e+03,6.24056e-12,1.02100e+01,2.96552e+01
6.00000e-05,7.72323e-02,3.31602e+02,4.24896e+03,6.35320e-12,1.03224e+01,2.98825e+01
6.05000e-05,7.92651e-02,3.36124e+02,4.23460e+03,6.46564e-12,1.04631e+01,3.01105e+01
6.10000e-05,8.13988e-02,3.36626e+02,4.31089e+03,6.57609e-12,1.04788e+01,3.03501e+01
6.15000e-05,8.36006e-02,3.34670e+02,4.36952e+03,6.68683e-12,1.04179e+01,3.05960e+01
