03/11/2025 13:40:33
Time, True Strain, True Stress [MPa], True Strainrate [1/s], Unc True Strain, Unc True Stress [MPa], Adiabatic Temp [C]
4.70000e-05,2.57221e-02,2.95024e+02,2.71248e+03,2.70177e-12,9.18373e+00,2.51300e+01
4.75000e-05,2.69602e-02,3.03008e+02,2.71586e+03,2.80569e-12,9.43225e+00,2.52552e+01
4.80000e-05,2.82067e-02,3.14175e+02,2.82483e+03,2.90903e-12,9.77988e+00,2.53858e+01
4.85000e-05,2.97163e-02,3.08262e+02,2.86541e+03,3.01312e-12,9.59583e+00,2.55411e+01
4.90000e-05,3.12331e-02,3.06831e+02,3.00809e+03,3.12139e-12,9.55128e+00,2.56963e+01
4.95000e-05,3.27098e-02,3.10209e+02,3.06624e+03,3.23261e-12,9.65644e+00,2.58492e+01
5.00000e-05,3.44088e-02,3.03946e+02,3.23477e+03,3.34405e-12,9.46146e+00,2.60215e+01
5.05000e-05,3.59045e-02,3.13998e+02,3.29879e+03,3.46032e-12,9.77438e+00,2.61782e+01
5.10000e-05,3.74388e-02,3.24320e+02,3.38579e+03,3.57500e-12,1.00957e+01,2.63442e+01
5.15000e-05,3.92406e-02,3.20243e+02,3.50464e+03,3.69383e-12,9.96877e+00,2.65367e+01
5.20000e-05,4.10653e-02,3.17126e+02,3.57853e+03,3.81427e-12,9.87175e+00,2.67297e+01
5.25000e-05,4.28906e-02,3.19076e+02,3.72836e+03,3.93680e-12,9.93245e+00,2.69241e+01
5.30000e-05,4.46404e-02,3.24517e+02,3.67991e+03,4.06031e-12,1.01018e+01,2.71135e+01
5.35000e-05,4.63925e-02,3.33086e+02,3.77841e+03,4.18356e-12,1.03686e+01,2.73082e+01
5.40000e-05,4.82159e-02,3.36571e+02,3.77185e+03,4.30549e-12,1.04770e+01,2.75130e+01
5.45000e-05,5.00857e-02,3.39079e+02,3.83692e+03,4.42921e-12,1.05551e+01,2.77245e+01
5.50000e-05,5.20600e-02,3.37466e+02,3.92423e+03,4.55457e-12,1.05049e+01,2.79468e+01
5.55000e-05,5.39413e-02,3.42775e+02,3.94517e+03,4.68265e-12,1.06702e+01,2.81619e+01
5.60000e-05,5.60582e-02,3.37060e+02,4.08718e+03,4.81034e-12,1.04923e+01,2.84000e+01
5.65000e-05,5.78927e-02,3.48272e+02,4.03151e+03,4.93990e-12,1.08413e+01,2.86131e+01
5.70000e-05,5.97998e-02,3.51653e+02,3.94113e+03,5.06443e-12,1.09465e+01,2.88369e+01
5.75000e-05,6.17951e-02,3.49397e+02,3.94696e+03,5.18612e-12,1.08763e+01,2.90695e+01
5.80000e-05,6.36725e-02,3.59265e+02,4.08157e+03,5.31229e-12,1.11835e+01,2.92945e+01
5.85000e-05,6.56692e-02,3.62255e+02,4.11165e+03,5.43715e-12,1.12766e+01,2.95358e+01
5.90000e-05,6.78153e-02,3.57780e+02,4.18225e+03,5.56429e-12,1.11372e+01,2.97920e+01
5.95000e-05,6.99945e-02,3.57313e+02,4.37299e+03,5.69350e-12,1.11227e+01,3.00518e+01
6.00000e-05,7.20798e-02,3.60866e+02,4.30905e+03,5.82192e-12,1.12333e+01,3.03028e+01
6.05000e-05,7.42745e-02,3.58850e+02,4.35583e+03,5.95114e-12,1.11706e+01,3.05656e+01
6.10000e-05,7.64789e-02,3.63870e+02,4.59672e+03,6.08063e-12,1.13268e+01,3.08332e+01
6.15000e-05,7.86916e-02,3.63976e+02,4.45909e+03,6.21193e-12,1.13301e+01,3.11019e+01
6.20000e-05,8.11309e-02,3.56398e+02,4.67171e+03,6.34533e-12,1.10942e+01,3.13919e+01
6.25000e-05,8.33094e-02,3.65035e+02,4.66240e+03,6.47744e-12,1.13631e+01,3.16572e+01
6.30000e-05,8.55540e-02,3.68456e+02,4.63025e+03,6.60626e-12,1.14696e+01,3.19332e+01
6.35000e-05,8.78682e-02,3.69715e+02,4.70193e+03,6.73570e-12,1.15088e+01,3.22186e+01
6.40000e-05,9.01381e-02,3.73709e+02,4.70137e+03,6.86508e-12,1.16331e+01,3.25016e+01
6.45000e-05,9.25208e-02,3.73421e+02,4.79068e+03,6.99326e-12,1.16241e+01,3.27985e+01
6.50000e-05,9.51012e-02,3.63756e+02,4.88278e+03,7.12653e-12,1.13233e+01,3.31116e+01
6.55000e-05,9.73493e-02,3.75812e+02,4.92419e+03,7.25532e-12,1.16986e+01,3.33935e+01
6.60000e-05,9.98538e-02,3.71887e+02,4.91669e+03,7.38731e-12,1.15764e+01,3.37042e+01
6.65000e-05,1.02071e-01,3.82088e+02,4.80543e+03,7.51268e-12,1.18939e+01,3.39869e+01
6.70000e-05,1.04601e-01,3.78737e+02,4.98639e+03,7.63883e-12,1.17896e+01,3.43066e+01
6.75000e-05,1.07023e-01,3.78414e+02,4.86928e+03,7.76624e-12,1.17796e+01,3.46123e+01
6.80000e-05,1.09437e-01,3.82832e+02,5.01415e+03,7.89411e-12,1.19171e+01,3.49207e+01
6.85000e-05,1.11985e-01,3.79199e+02,5.01260e+03,8.02261e-12,1.18040e+01,3.52431e+01
6.90000e-05,1.14409e-01,3.82400e+02,4.99313e+03,8.14923e-12,1.19037e+01,3.55523e+01
6.95000e-05,1.16977e-01,3.80544e+02,5.11195e+03,8.27831e-12,1.18459e+01,3.58783e+01
7.00000e-05,1.19371e-01,3.83147e+02,4.91460e+03,8.40254e-12,1.19269e+01,3.61843e+01
7.05000e-05,1.21973e-01,3.81855e+02,5.20061e+03,8.53052e-12,1.18867e+01,3.65158e+01
7.10000e-05,1.24447e-01,3.82659e+02,5.01445e+03,8.65826e-12,1.19117e+01,3.68316e+01
7.15000e-05,1.26932e-01,3.84614e+02,5.07936e+03,8.78389e-12,1.19726e+01,3.71506e+01
7.20000e-05,1.29568e-01,3.80998e+02,5.18695e+03,8.91285e-12,1.18600e+01,3.74856e+01
7.25000e-05,1.32194e-01,3.72485e+02,4.99338e+03,9.03821e-12,1.15950e+01,3.78119e+01
7.30000e-05,1.34476e-01,3.87500e+02,5.13029e+03,9.16044e-12,1.20624e+01,3.81069e+01
7.35000e-05,1.36934e-01,3.89133e+02,5.01422e+03,9.28124e-12,1.21132e+01,3.84261e+01
7.40000e-05,1.39491e-01,3.86135e+02,5.04916e+03,9.40407e-12,1.20199e+01,3.87555e+01
7.45000e-05,1.41998e-01,3.89175e+02,5.16535e+03,9.52607e-12,1.21145e+01,3.90811e+01
7.50000e-05,1.44399e-01,3.94804e+02,5.04441e+03,9.64492e-12,1.22898e+01,3.93973e+01
7.55000e-05,1.46961e-01,3.93795e+02,5.12941e+03,9.76632e-12,1.22583e+01,3.97338e+01
7.60000e-05,1.49466e-01,3.95090e+02,5.09905e+03,9.88369e-12,1.22987e+01,4.00640e+01
7.65000e-05,1.51949e-01,3.97511e+02,5.09756e+03,1.00010e-11,1.23740e+01,4.03934e+01
7.70000e-05,1.54714e-01,3.86797e+02,5.18431e+03,1.01210e-11,1.20405e+01,4.07502e+01
7.75000e-05,1.57218e-01,3.90062e+02,5.16953e+03,1.02374e-11,1.21422e+01,4.10760e+01
7.80000e-05,1.59812e-01,3.92711e+02,5.33197e+03,1.03554e-11,1.22246e+01,4.14159e+01
7.85000e-05,1.62697e-01,3.78399e+02,5.28471e+03,1.04761e-11,1.17791e+01,4.17801e+01
7.90000e-05,1.65352e-01,3.75159e+02,5.23289e+03,1.05935e-11,1.16782e+01,4.21124e+01
7.95000e-05,1.67526e-01,3.98063e+02,5.24813e+03,1.07038e-11,1.23912e+01,4.24011e+01
8.00000e-05,1.70497e-01,3.79910e+02,5.30709e+03,1.08232e-11,1.18261e+01,4.27778e+01
8.05000e-05,1.72852e-01,3.94001e+02,5.28761e+03,1.09369e-11,1.22648e+01,4.30873e+01
8.10000e-05,1.75421e-01,3.96866e+02,5.29358e+03,1.10508e-11,1.23539e+01,4.34275e+01
8.15000e-05,1.78069e-01,3.96096e+02,5.31295e+03,1.11669e-11,1.23300e+01,4.37773e+01
8.20000e-05,1.80635e-01,3.97564e+02,5.23516e+03,1.12806e-11,1.23757e+01,4.41177e+01
8.25000e-05,1.83184e-01,4.00946e+02,5.27551e+03,1.13934e-11,1.24810e+01,4.44587e+01
8.30000e-05,1.85956e-01,3.93802e+02,5.31566e+03,1.15101e-11,1.22586e+01,4.48229e+01
8.35000e-05,1.88490e-01,3.99917e+02,5.35547e+03,1.16249e-11,1.24489e+01,4.51610e+01
8.40000e-05,1.91267e-01,3.94717e+02,5.39986e+03,1.17431e-11,1.22871e+01,4.55268e+01
8.45000e-05,1.93809e-01,4.00513e+02,5.35989e+03,1.18585e-11,1.24675e+01,4.58663e+01
8.50000e-05,1.96484e-01,4.00252e+02,5.38909e+03,1.19745e-11,1.24594e+01,4.62235e+01
8.55000e-05,1.99109e-01,4.01906e+02,5.36727e+03,1.20899e-11,1.25108e+01,4.65756e+01
8.60000e-05,2.01698e-01,4.06533e+02,5.41258e+03,1.22037e-11,1.26549e+01,4.69266e+01
8.65000e-05,2.04513e-01,4.01626e+02,5.48529e+03,1.23239e-11,1.25021e+01,4.73039e+01
8.70000e-05,2.07384e-01,3.93768e+02,5.47657e+03,1.24417e-11,1.22575e+01,4.76811e+01
8.75000e-05,2.09870e-01,4.05635e+02,5.50526e+03,1.25573e-11,1.26269e+01,4.80174e+01
8.80000e-05,2.12750e-01,3.99135e+02,5.54809e+03,1.26768e-11,1.24246e+01,4.84010e+01
8.85000e-05,2.15337e-01,4.04749e+02,5.45829e+03,1.27904e-11,1.25993e+01,4.87504e+01
8.90000e-05,2.18245e-01,3.98270e+02,5.60183e+03,1.29107e-11,1.23977e+01,4.91368e+01
8.95000e-05,2.20886e-01,4.01720e+02,5.47743e+03,1.30251e-11,1.25051e+01,4.94907e+01
9.00000e-05,2.23613e-01,4.02209e+02,5.52931e+03,1.31418e-11,1.25203e+01,4.98567e+01
9.05000e-05,2.26352e-01,4.04791e+02,5.64101e+03,1.32581e-11,1.26007e+01,5.02265e+01
9.10000e-05,2.29161e-01,4.02340e+02,5.57137e+03,1.33751e-11,1.25243e+01,5.06037e+01
9.15000e-05,2.31798e-01,4.07302e+02,5.53838e+03,1.34909e-11,1.26788e+01,5.09619e+01
9.20000e-05,2.34676e-01,4.03780e+02,5.66221e+03,1.36080e-11,1.25692e+01,5.13496e+01
9.25000e-05,2.37368e-01,4.06080e+02,5.53840e+03,1.37246e-11,1.26408e+01,5.17143e+01
9.30000e-05,2.40441e-01,3.94459e+02,5.70309e+03,1.38455e-11,1.22790e+01,5.21188e+01
9.35000e-05,2.42795e-01,4.14233e+02,5.62337e+03,1.39573e-11,1.28946e+01,5.24441e+01
9.40000e-05,2.45850e-01,4.03428e+02,5.69630e+03,1.40786e-11,1.25582e+01,5.28553e+01
9.45000e-05,2.48655e-01,4.02298e+02,5.61772e+03,1.41959e-11,1.25230e+01,5.32317e+01
9.50000e-05,2.51282e-01,4.09453e+02,5.62839e+03,1.43102e-11,1.27458e+01,5.35906e+01
9.55000e-05,2.54305e-01,4.01307e+02,5.74468e+03,1.44309e-11,1.24922e+01,5.39954e+01
9.60000e-05,2.57120e-01,4.01458e+02,5.69617e+03,1.45490e-11,1.24969e+01,5.43724e+01
9.65000e-05,2.60023e-01,3.99527e+02,5.77847e+03,1.46678e-11,1.24368e+01,5.47593e+01
9.70000e-05,2.62856e-01,3.99919e+02,5.74398e+03,1.47865e-11,1.24490e+01,5.51373e+01
9.75000e-05,2.65585e-01,4.02627e+02,5.64003e+03,1.49016e-11,1.25333e+01,5.55039e+01
9.80000e-05,2.68344e-01,4.06313e+02,5.74875e+03,1.50158e-11,1.26480e+01,5.58780e+01
9.85000e-05,2.71123e-01,4.07446e+02,5.67055e+03,1.51318e-11,1.26833e+01,5.62558e+01
9.90000e-05,2.74013e-01,4.03013e+02,5.63547e+03,1.52483e-11,1.25453e+01,5.66443e+01
9.95000e-05,2.76875e-01,4.04109e+02,5.83693e+03,1.53649e-11,1.25794e+01,5.70301e+01
