03/11/2025 13:39:06
Time, True Strain, True Stress [MPa], True Strainrate [1/s], Unc True Strain, Unc True Stress [MPa], Adiabatic Temp [C]
4.55000e-05,2.52108e-02,2.90565e+02,3.05068e+03,2.70009e-12,9.04494e+00,2.50787e+01
4.60000e-05,2.67044e-02,2.93028e+02,3.07006e+03,2.81400e-12,9.12161e+00,2.52247e+01
4.65000e-05,2.81897e-02,2.98397e+02,3.13518e+03,2.92767e-12,9.28873e+00,2.53726e+01
4.70000e-05,2.97160e-02,3.01156e+02,3.14512e+03,3.04142e-12,9.37462e+00,2.55260e+01
4.75000e-05,3.13525e-02,2.98413e+02,3.21236e+03,3.15577e-12,9.28922e+00,2.56889e+01
4.80000e-05,3.27874e-02,3.08564e+02,3.17033e+03,3.26893e-12,9.60520e+00,2.58366e+01
4.85000e-05,3.43946e-02,3.06464e+02,3.17155e+03,3.38106e-12,9.53984e+00,2.60009e+01
4.90000e-05,3.59436e-02,3.08869e+02,3.18229e+03,3.49288e-12,9.61471e+00,2.61606e+01
4.95000e-05,3.74769e-02,3.11909e+02,3.16894e+03,3.60407e-12,9.70933e+00,2.63201e+01
5.00000e-05,3.90383e-02,3.14920e+02,3.22537e+03,3.71628e-12,9.80307e+00,2.64842e+01
5.05000e-05,4.07310e-02,3.08352e+02,3.21518e+03,3.82815e-12,9.59862e+00,2.66583e+01
5.10000e-05,4.24089e-02,3.04974e+02,3.27615e+03,3.94082e-12,9.49347e+00,2.68290e+01
5.15000e-05,4.40176e-02,3.08286e+02,3.32989e+03,4.05317e-12,9.59657e+00,2.69945e+01
5.20000e-05,4.56071e-02,3.15077e+02,3.39222e+03,4.16649e-12,9.80796e+00,2.71616e+01
5.25000e-05,4.74284e-02,3.09763e+02,3.50814e+03,4.28270e-12,9.64253e+00,2.73498e+01
5.30000e-05,4.91413e-02,3.15226e+02,3.60366e+03,4.39966e-12,9.81261e+00,2.75300e+01
5.35000e-05,5.11101e-02,3.07995e+02,3.74794e+03,4.52034e-12,9.58750e+00,2.77323e+01
5.40000e-05,5.27950e-02,3.22562e+02,3.81565e+03,4.64021e-12,1.00409e+01,2.79136e+01
5.45000e-05,5.47205e-02,3.23195e+02,3.89183e+03,4.76259e-12,1.00607e+01,2.81212e+01
5.50000e-05,5.66215e-02,3.28839e+02,3.99073e+03,4.88508e-12,1.02363e+01,2.83298e+01
5.55000e-05,5.85519e-02,3.33825e+02,4.03165e+03,5.00784e-12,1.03916e+01,2.85448e+01
5.60000e-05,6.06866e-02,3.29681e+02,4.17145e+03,5.13250e-12,1.02626e+01,2.87796e+01
5.65000e-05,6.26942e-02,3.34311e+02,4.17783e+03,5.25621e-12,1.04067e+01,2.90035e+01
5.70000e-05,6.46678e-02,3.42037e+02,4.20344e+03,5.37815e-12,1.06472e+01,2.92287e+01
5.75000e-05,6.67327e-02,3.44428e+02,4.22752e+03,5.49872e-12,1.07216e+01,2.94660e+01
5.80000e-05,6.87908e-02,3.47734e+02,4.24228e+03,5.61854e-12,1.08245e+01,2.97047e+01
5.85000e-05,7.09112e-02,3.47614e+02,4.26405e+03,5.73728e-12,1.08208e+01,2.99507e+01
