03/11/2025 13:40:32
Time, True Strain, True Stress [MPa], True Strainrate [1/s], Unc True Strain, Unc True Stress [MPa], Adiabatic Temp [C]
4.70000e-05,2.53696e-02,2.91689e+02,2.68180e+03,2.68011e-12,9.07991e+00,2.51071e+01
4.75000e-05,2.67143e-02,2.94835e+02,2.79105e+03,2.78590e-12,9.17784e+00,2.52394e+01
4.80000e-05,2.80035e-02,3.01828e+02,2.78879e+03,2.88866e-12,9.39552e+00,2.53692e+01
4.85000e-05,2.93885e-02,3.06219e+02,2.90838e+03,2.99345e-12,9.53223e+00,2.55107e+01
4.90000e-05,3.07936e-02,3.09313e+02,2.91247e+03,3.09960e-12,9.62852e+00,2.56557e+01
4.95000e-05,3.22117e-02,3.13661e+02,2.97499e+03,3.20355e-12,9.76387e+00,2.58041e+01
5.00000e-05,3.38136e-02,3.07104e+02,3.03292e+03,3.31185e-12,9.55978e+00,2.59682e+01
5.05000e-05,3.52077e-02,3.17181e+02,3.09178e+03,3.41852e-12,9.87345e+00,2.61158e+01
5.10000e-05,3.69285e-02,3.11549e+02,3.29803e+03,3.53167e-12,9.69813e+00,2.62946e+01
5.15000e-05,3.86450e-02,3.08476e+02,3.36242e+03,3.64670e-12,9.60247e+00,2.64713e+01
5.20000e-05,4.02529e-02,3.18120e+02,3.51260e+03,3.76530e-12,9.90267e+00,2.66419e+01
5.25000e-05,4.19537e-02,3.27711e+02,3.69934e+03,3.88543e-12,1.02012e+01,2.68279e+01
5.30000e-05,4.38241e-02,3.24252e+02,3.66117e+03,4.00822e-12,1.00936e+01,2.70302e+01
5.35000e-05,4.57576e-02,3.19534e+02,3.75065e+03,4.13132e-12,9.94669e+00,2.72364e+01
5.40000e-05,4.78529e-02,3.05648e+02,3.80580e+03,4.25842e-12,9.51446e+00,2.74500e+01
5.45000e-05,4.94064e-02,3.25587e+02,3.71236e+03,4.38002e-12,1.01351e+01,2.76188e+01
5.50000e-05,5.12787e-02,3.28738e+02,3.85967e+03,4.50297e-12,1.02332e+01,2.78241e+01
5.55000e-05,5.31057e-02,3.36589e+02,3.90892e+03,4.62666e-12,1.04776e+01,2.80293e+01
5.60000e-05,5.50870e-02,3.37488e+02,4.01327e+03,4.75021e-12,1.05056e+01,2.82524e+01
5.65000e-05,5.69885e-02,3.40586e+02,3.91875e+03,4.87359e-12,1.06020e+01,2.84684e+01
5.70000e-05,5.90037e-02,3.40522e+02,4.05326e+03,4.99771e-12,1.06000e+01,2.86974e+01
5.75000e-05,6.07913e-02,3.54193e+02,4.00994e+03,5.12073e-12,1.10256e+01,2.89086e+01
5.80000e-05,6.28331e-02,3.52851e+02,4.06884e+03,5.24346e-12,1.09838e+01,2.91490e+01
5.85000e-05,6.49260e-02,3.51809e+02,4.18102e+03,5.36695e-12,1.09514e+01,2.93946e+01
5.90000e-05,6.69211e-02,3.56044e+02,4.14525e+03,5.49049e-12,1.10832e+01,2.96316e+01
5.95000e-05,6.90823e-02,3.51269e+02,4.20389e+03,5.61288e-12,1.09346e+01,2.98849e+01
6.00000e-05,7.12468e-02,3.48364e+02,4.26753e+03,5.73653e-12,1.08441e+01,3.01365e+01
6.05000e-05,7.30968e-02,3.65504e+02,4.25429e+03,5.85919e-12,1.13777e+01,3.03621e+01
6.10000e-05,7.52340e-02,3.67171e+02,4.35513e+03,5.98277e-12,1.14296e+01,3.06239e+01
6.15000e-05,7.76233e-02,3.53165e+02,4.37376e+03,6.10799e-12,1.09936e+01,3.09054e+01
6.20000e-05,7.97785e-02,3.59415e+02,4.53517e+03,6.23372e-12,1.11881e+01,3.11638e+01
6.25000e-05,8.19600e-02,3.64410e+02,4.54990e+03,6.36065e-12,1.13436e+01,3.14291e+01
6.30000e-05,8.42693e-02,3.63262e+02,4.61430e+03,6.48937e-12,1.13079e+01,3.17089e+01
6.35000e-05,8.65305e-02,3.68194e+02,4.71059e+03,6.61832e-12,1.14614e+01,3.19867e+01
6.40000e-05,8.90180e-02,3.59730e+02,4.73967e+03,6.74887e-12,1.11980e+01,3.22852e+01
6.45000e-05,9.12290e-02,3.70387e+02,4.79469e+03,6.87937e-12,1.15297e+01,3.25585e+01
6.50000e-05,9.34626e-02,3.78269e+02,4.75316e+03,7.00716e-12,1.17750e+01,3.28403e+01
6.55000e-05,9.60170e-02,3.67714e+02,4.80444e+03,7.13556e-12,1.14465e+01,3.31537e+01
6.60000e-05,9.83175e-02,3.71957e+02,4.77206e+03,7.26164e-12,1.15785e+01,3.34392e+01
6.65000e-05,1.00801e-01,3.67153e+02,4.84503e+03,7.39019e-12,1.14290e+01,3.37434e+01
6.70000e-05,1.03106e-01,3.71370e+02,4.78372e+03,7.51496e-12,1.15603e+01,3.40291e+01
6.75000e-05,1.05467e-01,3.73463e+02,4.82537e+03,7.64019e-12,1.16254e+01,3.43232e+01
6.80000e-05,1.07828e-01,3.77612e+02,4.89409e+03,7.76436e-12,1.17546e+01,3.46206e+01
6.85000e-05,1.10156e-01,3.83243e+02,4.87784e+03,7.88716e-12,1.19299e+01,3.49182e+01
6.90000e-05,1.12861e-01,3.66586e+02,4.89457e+03,8.01225e-12,1.14114e+01,3.52491e+01
6.95000e-05,1.15007e-01,3.85206e+02,4.95002e+03,8.13343e-12,1.19910e+01,3.55249e+01
7.00000e-05,1.17404e-01,3.87804e+02,4.91834e+03,8.25742e-12,1.20719e+01,3.58350e+01
7.05000e-05,1.19914e-01,3.86832e+02,5.02590e+03,8.37933e-12,1.20416e+01,3.61589e+01
7.10000e-05,1.22572e-01,3.80265e+02,5.13400e+03,8.50577e-12,1.18372e+01,3.64962e+01
7.15000e-05,1.25026e-01,3.82826e+02,5.03367e+03,8.62985e-12,1.19169e+01,3.68096e+01
7.20000e-05,1.27561e-01,3.85341e+02,5.19719e+03,8.75195e-12,1.19952e+01,3.71355e+01
7.25000e-05,1.30121e-01,3.83483e+02,5.09699e+03,8.87757e-12,1.19373e+01,3.74631e+01
7.30000e-05,1.32541e-01,3.92095e+02,5.17895e+03,9.00033e-12,1.22054e+01,3.77797e+01
7.35000e-05,1.35202e-01,3.89900e+02,5.28796e+03,9.12567e-12,1.21371e+01,3.81258e+01
7.40000e-05,1.37769e-01,3.89192e+02,5.15144e+03,9.25170e-12,1.21151e+01,3.84591e+01
7.45000e-05,1.40429e-01,3.89014e+02,5.35733e+03,9.37637e-12,1.21095e+01,3.88044e+01
7.50000e-05,1.42923e-01,3.94054e+02,5.20810e+03,9.50055e-12,1.22664e+01,3.91322e+01
7.55000e-05,1.45455e-01,3.96199e+02,5.18165e+03,9.62245e-12,1.23332e+01,3.94668e+01
7.60000e-05,1.48179e-01,3.91131e+02,5.31287e+03,9.74755e-12,1.21754e+01,3.98224e+01
7.65000e-05,1.50694e-01,3.92986e+02,5.13950e+03,9.86943e-12,1.22332e+01,4.01522e+01
7.70000e-05,1.53369e-01,3.91091e+02,5.32495e+03,9.99423e-12,1.21742e+01,4.05011e+01
7.75000e-05,1.55779e-01,4.01441e+02,5.23990e+03,1.01138e-11,1.24964e+01,4.08240e+01
7.80000e-05,1.58517e-01,3.93587e+02,5.23416e+03,1.02350e-11,1.22519e+01,4.11834e+01
7.85000e-05,1.61127e-01,3.94246e+02,5.28888e+03,1.03547e-11,1.22724e+01,4.15267e+01
7.90000e-05,1.63776e-01,3.90963e+02,5.22139e+03,1.04745e-11,1.21702e+01,4.18722e+01
7.95000e-05,1.66281e-01,3.98648e+02,5.34095e+03,1.05926e-11,1.24094e+01,4.22055e+01
8.00000e-05,1.69006e-01,3.95052e+02,5.36229e+03,1.07122e-11,1.22975e+01,4.25646e+01
8.05000e-05,1.71634e-01,3.98461e+02,5.43145e+03,1.08312e-11,1.24036e+01,4.29140e+01
8.10000e-05,1.74384e-01,3.94323e+02,5.39196e+03,1.09495e-11,1.22748e+01,4.32758e+01
